127.0.0.1 - - [06/May/2022:16:14:30 +0900] "GET / HTTP/1.1" 200 10188
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:31 +0900] "GET / HTTP/1.1" 200 10188
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:31 +0900] "GET /resources/main.css HTTP/1.1" 200 4342
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:32 +0900] "GET /resources/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:32 +0900] "GET /resources/cancel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:32 +0900] "GET /favicon.ico HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:32 +0900] "GET /slick/list.json HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:33 +0900] "GET /resources/slick_img/Logo4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:33 +0900] "GET /resources/slick_img/Logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:33 +0900] "GET /resources/slick_img/Logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:33 +0900] "GET /resources/slick_img/Logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:46 +0900] "GET /pet/list HTTP/1.1" 200 7799
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:47 +0900] "GET /resources/dog_img/dictionary_banner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:47 +0900] "GET /pet/list.json?page=1&keyword=&searchType=all HTTP/1.1" 200 17532
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:47 +0900] "GET /display?fileName=dictionary/1651563231820_1651537718675_1651213502986_%EC%9D%98%EB%A6%AC.jpg HTTP/1.1" 500 3731
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:47 +0900] "GET /display?fileName=dictionary/1651537718675_1651213502986_%EC%9D%98%EB%A6%AC.jpg HTTP/1.1" 500 3689
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:47 +0900] "GET /display?fileName=dictionary/cat/11.jpg HTTP/1.1" 500 3605
0:0:0:0:0:0:0:1 - - [06/May/2022:16:14:47 +0900] "GET /display?fileName=dictionary/cat/10.jpg HTTP/1.1" 500 3605
